Ticket ID,Summary,Date Created,Date Completed,Lead Time (Days),Roadmap
DP-1177,Test,2026-03-20 13:08:15.368,2026-03-20 13:09:37.792,1,Unassigned
DP-1162,Launch trustpilot banner on the Business vertical,2026-03-16 09:24:14.582,2026-03-23 14:52:54.911,5,UK Buy
DP-1160, Streamline Legal Agreement for all GL panel ,2026-03-13 12:46:36.200,2026-03-18 20:57:36.737,3,US IP Offering
DP-1159,"Copy of BOP - (good, better,best) Multiple Coterie Quotes on QCP  ",2026-03-13 12:46:10.514,2026-03-16 10:53:28.720,1,US IP Offering
DP-1147,Optimize Ineligible Ops General Liability Application Questions - Housekeeping,2026-03-10 02:30:38.361,2026-03-10 17:01:58.136,1,US Buy
DP-1137,Renewal Notice: Cheaper than last year,2026-03-06 13:30:32.195,2026-03-16 15:08:49.845,6,UK Support & Growth
DP-1135,Learn how many customers refer by choice vs circumstance,2026-03-06 09:24:33.229,2026-03-18 19:58:47.329,8,UK IP Offering
DP-1121,Replace Opt Out Phone number with account link,2026-03-04 13:45:01.437,2026-03-16 15:08:53.396,8,UK Support & Growth
DP-1104,Ingest Ivans & Create Shell Policies for Coterie,2026-02-27 17:31:16.199,2026-03-17 13:29:33.526,12,US Support & Growth
DP-1101,Demand Test Rebrokering (email),2026-02-26 18:19:38.188,2026-03-11 18:08:19.935,9,US Support & Growth
DP-1095,Reciprocal Strategy: Demand test Customer Account engagement for partner perks ,2026-02-25 19:51:02.257,2026-03-20 18:38:42.328,17,US Partners
DP-1088,AI Trade Assistant: Predefined Help Pills to help customers select trade,2026-02-24 15:42:35.394,2026-02-27 10:04:22.161,3,UK Research
DP-1085,Re-run Landlord contact details test for higher intent customers,2026-02-24 12:01:34.648,2026-03-02 16:11:11.804,4,UK Buy
DP-1078,test for IA to make sure JPD is working,2026-02-20 17:38:29.391,2026-02-20 17:38:50.563,1,US Research Ins Advisor
DP-1076,Reordering Opt Out Reasons in Back Office,2026-02-20 10:32:56.459,2026-02-23 17:54:10.132,1,UK Support & Growth
DP-1075,BOP Streamline Legal Agreements,2026-02-19 16:31:35.394,2026-03-18 23:32:55.853,19,US IP Offering
DP-1074,Additional Insurance Product Mapping for Zurich Analysis,2026-02-19 11:55:08.599,2026-02-19 11:55:19.470,1,UK IP Ecosystems Dev
DP-1073,Tactical Rerating Scripts to Validate Rating and Quotability of Zurich book,2026-02-19 11:53:06.925,2026-02-19 11:53:25.739,1,UK IP Ecosystems Dev
DP-1072,Update Agent Portal Design Layout,2026-02-19 01:16:58.205,2026-03-09 14:44:34.054,12,US Partners
DP-1071,Primary Trade Callout Removal A/B test,2026-02-18 14:51:54.041,2026-02-27 18:26:48.773,7,US Buy
DP-1068,Quick to Rebroke: Transition to Journey,2026-02-17 13:21:25.888,2026-03-11 15:34:42.796,16,UK Support & Growth
DP-1067,Quick to Rebroke: Shorter QDP,2026-02-17 13:19:56.387,2026-03-11 15:34:18.388,16,UK Support & Growth
DP-1066,Quick to Rebroke: Support Prompts,2026-02-17 12:44:42.991,2026-02-25 21:53:54.863,6,UK Support & Growth
DP-1065,Quick to Rebroke: Review your details,2026-02-17 12:19:49.843,2026-03-11 15:34:23.144,16,UK Support & Growth
DP-1063,Send PocketProof to customers after purchase via SMS ,2024-06-10 21:10:59.502,2026-02-26 16:15:30.592,448,US Support & Growth
DP-1055,Move Secondary Trade Question A/B Test (Application Page 1 Friction Reduction),2026-02-13 13:58:01.987,2026-02-19 06:55:05.784,4,US Buy
DP-1050,Social Proof Feature for Trust on Zip Code,2026-02-12 13:27:16.362,2026-03-23 15:38:27.276,27,US IP Offering
DP-1045,£1120 premium threshold for low-quoting shop,2026-02-11 13:56:05.531,2026-03-10 13:05:15.174,19,UK IP Offering
DP-1043,Close all Flexor opportunities when sold in Chopin,2026-02-11 13:54:11.485,2026-02-25 13:42:12.714,10,UK IP Offering
DP-1040,Provide extra context on contact details screen for why we need these bits of information for shop and business ,2026-02-11 10:40:22.500,2026-02-12 14:27:48.923,1,UK Buy
DP-1038,Redirect low-quoting Partner Shop customers to Shkhara,2026-02-10 12:28:10.774,2026-02-11 11:53:58.766,1,UK IP Offering
DP-1036,SMS Renewal Reminder for soft bouncing,2026-02-09 16:19:13.722,2026-02-11 15:47:56.019,2,UK Support & Growth
DP-1031,Failed payment alert for RBOL,2026-02-09 14:27:02.932,2026-02-09 14:27:06.426,1,UK Support & Growth
DP-1022,Test to move correspondence address on Business,2026-02-06 14:33:57.536,2026-02-06 14:34:01.829,1,UK Buy
DP-1021,Cross sell motor trade asset and BI cover ,2026-02-06 11:53:32.965,2026-03-04 10:47:18.609,18,UK IP Offering
DP-1016, Short BOP Journey value drop 2 ,2026-02-05 17:11:17.540,2026-02-05 17:11:20.911,1,US IP Offering
DP-1015,Implement opportunity score for motor trades,2026-02-05 13:18:07.648,2026-02-06 12:21:25.320,1,UK IP Offering
DP-1012,CSC ONLY Quote Eligibility Checker,2026-02-05 10:27:54.788,2026-03-06 11:17:28.822,21,US Partners
DP-1009,Test Average Claim intervention based on trade within biz Q2Q,2026-02-04 15:03:52.236,2026-02-05 10:38:38.910,1,UK Buy
DP-1006,Add PCP / CoverG to Prof Vertical ,2026-02-04 09:46:26.429,2026-02-27 15:00:16.490,17,UK Buy
DP-1002,Launch indicative price intervention pop up via hydra on Business Q2Q,2026-02-03 13:54:51.452,2026-02-05 10:38:47.331,2,UK Buy
DP-1000,Tailored GL Showcase pricing by revenue tier,2026-02-03 11:55:31.070,2026-02-16 09:37:54.864,9,US Research Brand & Experiments
DP-999,Digital Cancellation for Callers,2026-02-02 17:17:38.021,2026-03-05 18:31:15.809,23,US Support & Growth
DP-994,Test new features on the assumptions page to increase assumptions visibility and correct representation of the customer's risk,2026-02-02 10:19:29.987,2026-03-17 15:01:25.570,31,UK Buy
DP-992,Only ask for postcode/ city rather than ask for specific address for risk address to address the large drop off,2026-02-02 10:00:53.204,2026-02-02 15:08:22.874,1,UK Buy
DP-987,Redirect out of appetite motor trades to CBD instead of Gallaghers,2026-01-30 13:43:10.944,2026-02-10 11:47:03.043,7,UK IP Offering
DP-986,Redirect SB direct out of appetite shop trades to Shkhara instead of Gallaghers,2026-01-30 13:42:53.146,2026-02-11 11:54:03.819,8,UK IP Offering
DP-984,"Change how we ask assumptions on the Shop, Landlord and Profs assumption page",2026-01-29 13:13:58.902,2026-03-23 14:55:36.636,37,UK Buy
DP-982,Limit PI cover levels to those available for each trade,2026-01-28 14:26:09.391,2026-01-30 09:28:01.449,2,UK IP Offering
DP-981,Productionise sending emails with price and coverage recommendations in Pre-App,2026-01-27 09:52:07.228,2026-02-16 09:38:11.052,14,US Research Brand & Experiments
DP-980,Simplifying widget journey by pre-filling revenue answer,2026-01-27 09:46:18.368,2026-01-27 16:34:10.861,1,US Research Brand & Experiments
DP-979,Apply commission to premium calculations for Shell Policies,2026-01-27 09:02:43.939,2026-02-11 14:24:13.730,11,UK IP Ecosystems Dev
DP-978,Calculate Net Premium for Shell Polcies,2026-01-27 08:21:47.285,2026-02-11 14:24:11.678,11,UK IP Ecosystems Dev
DP-977,Send COI requests from the IVR to the Account if Endorsements Included in Policy,2026-01-26 19:20:43.407,2026-02-23 17:26:30.364,20,US Support & Growth
DP-976,Digitize cancellations requests in agent portal to avoid CSC calls,2026-01-26 17:38:54.429,2026-02-04 21:41:09.199,7,US Support & Growth
DP-974,Shop PCP CoverG ,2026-01-26 15:34:14.752,2026-01-29 16:45:05.248,3,UK Research
DP-973,Add COI self-servicing to the agent portal,2026-01-26 14:46:42.145,2026-02-04 21:41:07.624,7,US Support & Growth
DP-971,Embedding existing SB widgets onto Partner sites,2026-01-26 10:42:38.867,2026-02-19 16:50:55.958,18,US Partners
DP-966,Trade-Specific Cover Availability (Contents),2026-01-22 16:19:11.178,2026-02-25 13:42:14.358,24,UK IP Offering
DP-965,Hide buildings cover when model cannot quote postcode,2026-01-22 16:13:36.965,2026-01-30 13:01:28.687,6,UK IP Offering
DP-959,Refer shop unquotables to CBD/Shkhara,2026-01-22 11:27:22.177,2026-01-30 14:50:17.189,6,UK IP Offering
DP-953,Add New Business and Renewal Fees to C&N verticals and Commercial Landlord,2026-01-21 13:45:51.706,2026-03-05 13:19:01.493,31,UK IP Ecosystems Dev
DP-952,PCP Smart Sort A/B Test ,2026-01-21 11:40:17.650,2026-02-05 14:58:51.877,11,UK Buy
DP-950,BOP AB test Contact details move ,2026-01-21 09:46:53.726,2026-03-05 15:55:10.581,31,US IP Offering
DP-945,"Move Phone Number field to Interstitial page with ""Take your quote with you"" framing",2026-01-16 14:05:03.524,2026-03-18 22:16:40.859,43,US Buy
DP-944,Make help text more helpful on Trade Selector screen to help give more helpful information to customers when struggling to answer this question,2026-01-16 10:59:45.955,2026-03-09 17:59:33.351,36,UK Buy
DP-942,"Remove/ Reword ""Select a trade"" line to reduce clutter and confusion on the first question",2026-01-16 10:52:40.205,2026-01-28 14:53:33.146,8,UK Buy
DP-941,Reduce font size of legal text on first section of Q2Q to reduce clutter on the screen and ensure focus on the question to be answered ,2026-01-16 10:44:28.632,2026-02-26 19:34:48.262,29,UK Buy
DP-939, Short BOP Journey HBWY,2026-01-15 17:54:48.695,2026-01-15 17:54:52.619,1,US IP Offering
